timestamp,runtime_min
2026-06-08 08:40:00,102.8333
2026-06-08 09:00:00,107.1667
,
2026-06-08 10:40:00,1.5
2026-06-08 11:00:00,21.5
2026-06-08 11:20:00,41.5
2026-06-08 11:40:00,53.1667
,
2026-06-08 12:40:00,121.5
2026-06-08 13:00:00,131.6667
,
2026-06-09 06:00:00,2.8333
2026-06-09 06:20:00,22.8333
2026-06-09 06:40:00,42.8333
2026-06-09 07:00:00,62.8333
2026-06-09 07:20:00,82.8333
2026-06-09 07:40:00,93.1667
,
2026-06-09 09:40:00,4.5
2026-06-09 10:00:00,24.5
2026-06-09 10:20:00,40.0
,
2026-06-09 10:40:00,64.5
2026-06-09 11:00:00,84.5
2026-06-09 11:20:00,104.5
2026-06-09 11:40:00,115.6667
,
2026-06-10 07:00:00,6.8333
2026-06-10 07:20:00,26.8333
2026-06-10 07:40:00,46.8333
2026-06-10 08:00:00,66.8333
2026-06-10 08:20:00,86.8333
2026-06-10 08:40:00,95.8333
,
2026-06-10 09:20:00,146.8333
2026-06-10 09:40:00,166.8333
2026-06-10 10:00:00,186.8333
2026-06-10 10:20:00,206.8333
2026-06-10 10:40:00,224.3333
,
2026-06-11 08:00:00,12.8333
2026-06-11 08:20:00,32.8333
2026-06-11 08:40:00,52.8333
2026-06-11 09:00:00,72.8333
2026-06-11 09:20:00,92.8333
2026-06-11 09:40:00,96.1667
,
2026-06-11 10:40:00,2.5
2026-06-11 11:00:00,22.5
2026-06-11 11:20:00,37.5
,
2026-06-11 12:40:00,122.5
2026-06-11 13:00:00,142.5
2026-06-11 13:20:00,162.5
2026-06-11 13:40:00,162.8333
,
2026-06-12 06:40:00,0.8333
2026-06-12 07:00:00,20.8333
2026-06-12 07:20:00,40.8333
2026-06-12 07:40:00,60.8333
2026-06-12 08:00:00,80.8333
2026-06-12 08:20:00,96.1667
,
2026-06-12 09:00:00,140.8333
2026-06-12 09:20:00,160.8333
2026-06-12 09:40:00,180.8333
2026-06-12 10:00:00,200.8333
2026-06-12 10:20:00,220.8333
2026-06-12 10:40:00,240.8333
2026-06-12 11:00:00,257.3333
,
2026-06-13 07:40:00,0.8333
2026-06-13 08:00:00,20.8333
2026-06-13 08:20:00,40.8333
2026-06-13 08:40:00,60.6667
,
2026-06-13 10:00:00,9.0
2026-06-13 10:20:00,29.0
2026-06-13 10:40:00,49.0
2026-06-13 11:00:00,50.1667
,
2026-06-13 11:20:00,9.6667
2026-06-13 11:40:00,29.6667
2026-06-13 12:00:00,43.6667
,
2026-06-13 12:40:00,89.6667
2026-06-13 13:00:00,109.6667
2026-06-13 13:20:00,129.6667
2026-06-13 13:40:00,132.6667
,
2026-06-14 06:20:00,4.8333
2026-06-14 06:40:00,24.8333
2026-06-14 07:00:00,43.5
,
2026-06-14 09:00:00,16.1667
2026-06-14 09:20:00,36.1667
2026-06-14 09:40:00,45.3333
,
2026-06-14 10:20:00,7.6667
2026-06-14 10:40:00,27.6667
2026-06-14 11:00:00,31.6667
,
2026-06-14 11:40:00,87.6667
2026-06-14 12:00:00,107.6667
2026-06-14 12:20:00,118.1667
,
2026-06-15 06:40:00,17.8333
2026-06-15 07:00:00,37.8333
2026-06-15 07:20:00,54.0
,
2026-06-15 08:40:00,9.6667
2026-06-15 09:00:00,29.6667
2026-06-15 09:20:00,49.6667
2026-06-15 09:40:00,55.6667
,
2026-06-15 11:00:00,19.8333
2026-06-15 11:20:00,39.8333
2026-06-15 11:40:00,55.3333
,
2026-06-15 12:40:00,119.8333
2026-06-15 13:00:00,131.0
,
2026-06-16 07:20:00,7.8333
2026-06-16 07:40:00,27.8333
2026-06-16 08:00:00,47.8333
2026-06-16 08:20:00,67.8333
2026-06-16 08:40:00,87.8333
2026-06-16 09:00:00,95.6667
,
2026-06-16 09:40:00,2.0
2026-06-16 10:00:00,22.0
2026-06-16 10:20:00,42.0
2026-06-16 10:40:00,60.8333
,
2026-06-16 11:40:00,122.0
2026-06-16 12:00:00,142.0
2026-06-16 12:20:00,162.0
2026-06-16 12:40:00,177.1667
,
2026-06-17 08:00:00,4.8333
